rubro,proveedor,medio,provincia,localidad,total_general,canje,centr,descent
Web,CAMPILLO MARCELINO DANIEL,WWW.ROJASCIUDAD.NET,Buenos Aires,LA PLATA,126262.50,,50662.50,75600.00
Radio FM,COLOMBATTI CRISTINA MARTA,FM 101.5 RADIO DON,La Pampa,CASTEX,126262.40,,25256.00,101006.40
Grafica,GABALDON CARLOS ALBERTO,DIARIO MI BARRIO,Capital Federal,VILLA CRESPO,126000.00,,84000.00,42000.00
Grafica,PEREYRA VERONICA CECILIA,REVISTA AQUI MATADEROS,Capital Federal,CAPITAL FEDERAL,126000.00,,42000.00,84000.00
Web,DIARIOS BONAERENSES S.A.,WWW.SPROTAGONISTAS.COM,Buenos Aires,MERCEDES,126000.00,,31500.00,94500.00
Radio FM,COMERCIAL MEDIOS S.A.,FM 103.3 METRO,Buenos Aires,ROQUE SAEZ PE丕,125840.00,,,125840.00
Web,BOSCO GUSTAVO ALEJANDRO,WWW.NOTICIASRIONEGRO.COM.AR,Rio Negro,CARMEN DE PATAGONES,125333.32,,25333.33,99999.99
Radio FM,MEDIAMAX S.A.,FM 103.7 POWER,La Pampa,SANTA ROSA,125125.45,,,125125.45
Web,JAIME LUCIA,WWW.QUECIRCULE.COM.AR,Buenos Aires,LA PLATA,125000.00,,50000.00,75000.00
Radio FM,GALLETTI PAULO ANDRES,FM 94.3 RADIO CADENA REGIONAL,Santa Fe,BIGAND,124928.00,,39504.00,85424.00
Radio FM,KEY MEDIOS GA S.R.L.,FM 91.9 RADIO DEL SUR,La Rioja,CHEPES,124859.90,,,124859.90
Web,LEVERONI LEONARDO MARTIN,CAUSAPENDIENTE.COM,Buenos Aires,OLIVOS,124800.00,,,124800.00
Radio FM,NATALINI ANGEL RUBEN,FM 88.1 GENESIS,Rio Negro,SAN CARLOS DE BARILOCHE,124620.00,,,124620.00
Radio FM,PARADISO EDUARDO MIGUEL,FM NOSTALGIA 92.1,Santa Fe,VENADO TUERTO,124615.80,,29346.80,95269.00
Radio FM,FOTI MARIA PIERINA,FM 99.9 LA 99,Buenos Aires,OLAVARRIA,124500.00,,,124500.00
Web,AGUIRRE EDGARDO DANIEL,WWW.MASCONTENIDOS.NET,Chaco,RESISTENCIA,124000.00,,55000.00,69000.00
Web,LA CORNISA PRODUCCIONES S.A.,WWW.BERLIN1079.COM,Capital Federal,CAPITAL FEDERAL,123420.00,,,123420.00
